Country,Population(mil),Cases,Cases/mil,Deaths,Deaths/Cases(%),Deaths/mil,Recoveries,Recoveries/Cases(%),Recoveries/mil
Bhutan,0.8,21,27.5,0,0.0,0.0,6,28.6,7.9
Namibia,2.5,19,7.6,0,0.0,0.0,14,73.7,5.6
Laos,7.2,19,2.7,0,0.0,0.0,14,73.7,2.0
Fiji,0.9,18,20.2,0,0.0,0.0,15,83.3,16.9
Saint Lucia,0.2,18,98.5,0,0.0,0.0,18,100.0,98.5
Saint Vincent and the Grenadines,0.1,18,162.8,0,0.0,0.0,14,77.8,126.6
Belize,0.4,18,46.1,2,11.1,5.1,16,88.9,41.0
Dominica,0.1,16,222.8,0,0.0,0.0,16,100.0,222.8
Saint Kitts and Nevis,0.1,15,284.0,0,0.0,0.0,15,100.0,284.0
Holy See,0.0,12,15018.8,0,0.0,0.0,2,16.7,2503.1
Seychelles,0.1,11,112.5,0,0.0,0.0,11,100.0,112.5
Suriname,0.6,11,18.9,1,9.1,1.7,9,81.8,15.5
MS Zaandam,N/A,9,N/A,2,22.2,N/A,0,0.0,N/A
Papua New Guinea,8.8,8,0.9,0,0.0,0.0,8,100.0,0.9
Western Sahara,0.6,6,10.3,0,0.0,0.0,6,100.0,10.3
Lesotho,2.1,2,0.9,0,0.0,0.0,0,0.0,0.0
